%
% ARFF data file, generated by KNIME
%
% Date: Tue Apr 14 11:57:48 CEST 2015
% User: carlosan
%

@RELATION DataTable
@ATTRIBUTE MONTH	{October,June,April,December,November,July,January,September,May,February,August,March}
@ATTRIBUTE HOUR	{21:00,17:00,2:00,4:00,11:00,13:00,15:00,22:00,23:00,7:00,0:00,18:00,6:00,1:00,16:00,12:00,5:00,20:00,3:00,19:00,14:00,8:00,10:00,9:00}
@ATTRIBUTE pressure	INTEGER
@ATTRIBUTE three_hour_pressure_change	INTEGER
@ATTRIBUTE wind_direction	INTEGER
@ATTRIBUTE wind_speed	REAL
@ATTRIBUTE visibility	INTEGER
@ATTRIBUTE cloud_cover	INTEGER
@ATTRIBUTE height_of_base_of_cloud	INTEGER
@ATTRIBUTE dewpoint	REAL
@ATTRIBUTE drybulb	REAL
@ATTRIBUTE char_pressure_tendency_string	{lower,higher,'same or lower',steady,'same or higher'}
@ATTRIBUTE present_weather_string	{'no meteors during the past hour',rain,'showery precipitation','solid precipitation not in showers',drizzle,'showers of rain',precipitation,'fog or ice fog preceding hour',mist,snow,fog,patches,'thunderstorm preceding hour',lightning,'freezing drizzle or rain','showers of snow','thunderstorm no precipitation','rain and snow','showers of hail','haze dust or smoke','funnel clouds'}
@ATTRIBUTE past_weather1_string	{'cloud covering the sky',rain,thunderstorm,snow,showers,drizzle,'fog or ice fog or thick haze'}
@ATTRIBUTE past_weather2_string	{'cloud covering the sky',rain,drizzle,snow,'fog or ice fog or thick haze',showers,thunderstorm,'sandstorm duststorm or blowing snow'}
@ATTRIBUTE cloud_type_string	{'stratus nebulosus','cumulus and stratocumulus not cumulogenitus','low clouds invisible due to darknes fog dust or sand','stratocumulus not cumulogenitus','cumulus humilis','stratus fractus','cumulus mediocris','no low clouds','cumulonimbus capillatus','stratocumulus cumulogenitus','cumulunimbus calvus'}
@ATTRIBUTE FOG+3	{NO,YES}

@DATA
April,18:00,99550,-80,130,9.719,20000,8,3500,6.05,18.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
January,3:00,101390,140,20,9.719,1200,8,30,0.75,1.15,higher,mist,'cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
May,4:00,100510,0,20,58.314,7000,2,8000,6.95,8.85,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
December,6:00,99680,50,340,38.876,9000,2,1750,-7.05,-5.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
June,1:00,99500,-70,320,38.876,8000,5,1750,12.25,13.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
April,23:00,99960,-40,280,38.876,20000,6,3500,4.65,11.95,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
April,0:00,99110,40,10,155.504,7000,5,450,3.75,6.25,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
December,2:00,101090,40,30,116.628,6000,8,150,3.95,5.25,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
July,21:00,100740,170,10,116.628,12000,7,450,13.85,17.15,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
November,1:00,98880,-50,260,116.628,4000,8,150,12.55,13.35,lower,rain,rain,rain,'stratocumulus not cumulogenitus',NO
July,17:00,99940,-40,300,9.719,15000,8,800,14.75,20.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
January,9:00,101680,30,190,58.314,5000,8,800,1.05,2.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
December,14:00,101430,-120,210,58.314,10000,7,1250,4.65,6.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
January,14:00,98520,-310,200,174.942,12000,8,800,5.85,8.75,lower,rain,rain,rain,'stratocumulus not cumulogenitus',NO
March,20:00,98600,-10,150,58.314,8000,7,450,3.55,5.05,lower,rain,showers,rain,'cumulus and stratocumulus not cumulogenitus',NO
August,23:00,100610,-30,230,58.314,12000,6,1750,14.75,17.25,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
July,17:00,99900,-160,220,136.066,40000,7,3500,9.95,27.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
September,14:00,100770,-180,70,58.314,15000,0,?,9.35,24.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
March,0:00,101950,-10,40,38.876,20000,0,?,-1.65,3.95,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
April,18:00,99310,-40,30,9.719,25000,2,1750,-1.25,13.05,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
February,12:00,99560,90,10,77.752,11000,7,450,-0.25,3.75,higher,'no meteors during the past hour',showers,snow,'cumulus and stratocumulus not cumulogenitus',NO
March,10:00,99540,-110,110,155.504,8000,7,8000,1.35,8.45,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
September,7:00,101220,40,50,58.314,10000,1,8000,8.35,11.15,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
March,14:00,101330,-110,60,9.719,20000,5,1750,1.15,13.45,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
May,11:00,99780,200,320,77.752,6000,7,250,7.25,10.05,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
June,16:00,100260,0,240,136.066,30000,6,1750,6.35,19.25,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
June,6:00,100620,90,360,58.314,20000,0,?,11.05,16.05,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
December,15:00,101030,-140,190,77.752,15000,8,250,9.05,9.95,lower,drizzle,rain,drizzle,'stratus fractus',NO
May,13:00,99190,-60,210,174.942,12000,6,800,11.25,16.55,lower,'showers of rain',showers,rain,'cumulonimbus capillatus',NO
September,11:00,101170,10,90,38.876,18000,4,8000,8.55,23.25,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
October,22:00,100440,-40,50,19.438,20000,8,1750,7.15,11.85,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
November,6:00,99230,100,180,58.314,13000,7,1750,9.15,12.55,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
January,18:00,100500,220,60,77.752,2000,8,150,-2.15,-1.35,higher,'solid precipitation not in showers',snow,snow,'stratocumulus not cumulogenitus',NO
April,10:00,99860,110,20,58.314,10000,7,1750,10.25,15.25,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
September,10:00,101020,0,240,116.628,20000,6,3500,8.15,16.65,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
October,6:00,100700,170,360,38.876,6000,0,?,-3.95,-2.35,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
February,4:00,100810,-60,150,58.314,3500,7,80,5.95,6.65,lower,mist,'cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
November,1:00,97500,250,240,9.719,12000,8,800,8.45,8.95,higher,rain,rain,rain,'stratocumulus not cumulogenitus',NO
July,5:00,100510,30,340,58.314,20000,2,1750,10.65,13.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
January,19:00,100720,10,140,58.314,400,8,30,1.15,1.15,higher,fog,'fog or ice fog or thick haze','fog or ice fog or thick haze','stratus nebulosus',NO
January,12:00,100720,-20,120,58.314,4500,8,150,2.15,3.65,lower,rain,rain,'cloud covering the sky','stratocumulus not cumulogenitus',NO
March,13:00,101730,-130,320,19.438,6000,4,450,7.65,13.25,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
March,7:00,101110,30,130,77.752,10000,1,2250,-6.05,-1.15,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
August,4:00,100430,-60,10,77.752,5000,3,3500,11.35,12.15,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
April,15:00,99830,-130,250,9.719,15000,6,800,7.45,15.95,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus mediocris',NO
July,20:00,101320,40,40,58.314,30000,1,3500,9.55,19.05,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
October,22:00,100370,-40,150,58.314,20000,5,3500,9.75,12.55,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
July,3:00,101140,-30,10,9.719,12000,4,8000,8.95,11.05,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
September,0:00,100640,-30,10,58.314,18000,1,8000,10.35,13.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
June,10:00,99960,180,340,9.719,12000,8,450,13.15,15.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
November,16:00,98590,-80,190,9.719,9000,8,450,10.85,11.75,lower,rain,rain,rain,'stratocumulus not cumulogenitus',NO
March,12:00,101730,60,70,9.719,25000,2,1250,-8.35,1.45,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
August,0:00,101160,40,320,77.752,25000,2,1750,10.45,15.05,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
January,18:00,101520,-50,260,9.719,25000,1,8000,9.45,12.45,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
October,20:00,98920,50,190,116.628,6000,7,250,16.15,17.85,higher,'showery precipitation',thunderstorm,showers,'cumulonimbus capillatus',NO
February,4:00,99350,-70,230,136.066,6000,8,150,8.75,9.85,lower,drizzle,rain,drizzle,'stratus fractus',NO
September,9:00,100290,20,190,9.719,20000,3,3500,16.85,22.65,'same or higher','no meteors during the past hour',rain,'cloud covering the sky','no low clouds',NO
August,11:00,100850,-70,340,116.628,25000,7,450,12.95,18.25,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
September,11:00,100680,-110,70,38.876,20000,4,800,9.15,17.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus mediocris',NO
May,1:00,100960,-10,260,77.752,20000,7,450,11.55,14.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
July,22:00,100180,20,230,38.876,15000,5,1250,13.05,15.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
July,4:00,100450,-20,150,19.438,15000,0,?,9.05,10.25,lower,patches,'cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
June,13:00,99550,-70,230,58.314,30000,1,1250,5.65,19.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
September,10:00,99970,10,90,58.314,25000,7,3500,12.85,22.05,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
July,14:00,99640,-100,90,58.314,6000,8,150,17.95,19.85,lower,'showery precipitation',showers,rain,'cumulus mediocris',NO
March,6:00,99300,-100,190,116.628,15000,7,450,7.35,8.55,lower,rain,rain,'cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
August,14:00,99320,-280,110,116.628,25000,5,1750,16.55,29.05,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
January,19:00,100590,110,60,77.752,4000,7,800,-12.25,-9.15,higher,'solid precipitation not in showers',snow,'cloud covering the sky','stratocumulus not cumulogenitus',NO
May,23:00,99820,-80,230,155.504,20000,8,1750,10.55,16.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
October,11:00,100910,80,250,116.628,25000,7,800,10.55,15.55,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
April,16:00,100810,-110,80,116.628,25000,1,1750,-0.75,17.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus cumulogenitus',NO
May,1:00,100970,50,270,9.719,30000,7,800,6.25,11.05,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
June,0:00,100040,-10,260,19.438,10000,8,450,9.75,11.35,lower,rain,rain,rain,'stratocumulus not cumulogenitus',NO
March,19:00,102060,20,250,58.314,28000,4,1750,-2.45,5.85,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus cumulogenitus',NO
July,17:00,100350,140,280,136.066,25000,3,1250,11.35,20.45,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
January,8:00,100360,70,350,77.752,8000,5,450,-5.15,-2.95,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
May,0:00,99870,-10,20,9.719,12000,2,8000,6.35,8.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
April,9:00,100350,90,140,58.314,7000,7,1250,10.85,12.95,higher,'no meteors during the past hour','fog or ice fog or thick haze','cloud covering the sky','stratocumulus not cumulogenitus',NO
December,16:00,100100,-40,70,58.314,4500,8,150,3.45,4.15,lower,rain,rain,rain,'stratocumulus not cumulogenitus',NO
May,22:00,100090,20,60,136.066,25000,7,3500,4.85,13.95,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
June,10:00,100500,-40,290,38.876,14000,4,800,12.55,18.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
July,15:00,101350,-60,360,77.752,20000,4,800,14.95,22.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus mediocris',NO
July,18:00,100240,-100,280,116.628,20000,7,1250,8.25,18.55,lower,'no meteors during the past hour',showers,rain,'cumulus and stratocumulus not cumulogenitus',NO
February,9:00,102110,130,190,77.752,2000,8,80,8.95,9.55,higher,drizzle,drizzle,'cloud covering the sky','stratus nebulosus',NO
March,13:00,101850,-30,290,58.314,4500,8,450,6.15,9.25,lower,drizzle,drizzle,'cloud covering the sky','stratocumulus not cumulogenitus',NO
May,2:00,99880,-120,80,38.876,20000,7,1250,12.35,15.25,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
April,21:00,100300,50,360,58.314,14000,8,1250,1.75,6.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
May,2:00,100130,60,310,77.752,2500,7,150,11.45,12.35,higher,mist,'cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
April,14:00,101420,?,320,116.628,8000,7,1250,3.55,13.75,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
August,19:00,101080,-40,340,38.876,30000,2,8000,5.65,24.85,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
August,14:00,100350,-140,250,9.719,20000,5,1750,9.85,25.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
November,13:00,100080,-420,220,136.066,10000,8,800,3.15,6.75,lower,rain,rain,rain,'stratocumulus not cumulogenitus',NO
August,23:00,100600,0,70,77.752,20000,2,8000,10.15,15.35,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
April,7:00,99410,80,60,77.752,7000,8,450,8.55,10.15,higher,rain,rain,rain,'stratocumulus not cumulogenitus',NO
January,15:00,100360,330,260,116.628,10000,8,250,4.55,6.25,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
September,9:00,100020,260,220,77.752,9000,8,800,15.95,17.95,higher,rain,rain,'cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
September,11:00,101310,50,10,174.942,30000,3,1250,6.45,17.55,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
October,0:00,100080,-110,60,58.314,4000,8,250,11.05,12.15,lower,rain,rain,'cloud covering the sky','stratocumulus not cumulogenitus',NO
July,18:00,100930,-60,20,77.752,20000,4,8000,14.05,26.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
January,4:00,100930,70,20,9.719,8000,4,3500,-5.65,-2.15,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
June,19:00,99540,0,330,58.314,25000,3,1750,5.35,16.05,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
April,22:00,98880,260,260,9.719,18000,8,1250,6.35,8.35,higher,rain,rain,'cloud covering the sky','stratocumulus not cumulogenitus',NO
July,21:00,100220,50,10,58.314,30000,0,?,12.65,23.05,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
February,16:00,101390,-190,250,38.876,20000,4,800,6.15,13.25,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
November,23:00,99070,-110,50,9.719,8000,7,800,-4.85,-1.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
December,20:00,100310,50,220,116.628,12000,7,150,11.45,11.95,higher,drizzle,drizzle,'cloud covering the sky','stratocumulus not cumulogenitus',NO
October,11:00,97900,-90,210,213.818,8000,7,450,12.05,14.95,lower,'showers of rain',showers,rain,'stratocumulus not cumulogenitus',NO
July,20:00,99430,0,220,174.942,15000,7,450,14.65,18.55,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
April,9:00,100660,60,260,38.876,15000,1,800,-1.15,10.25,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
May,15:00,100540,-160,60,19.438,20000,7,1750,6.85,20.95,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
December,7:00,100270,120,340,136.066,10000,8,450,4.65,6.05,higher,rain,rain,rain,'cumulus and stratocumulus not cumulogenitus',NO
September,17:00,99550,20,260,174.942,20000,7,1250,7.75,18.35,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
December,9:00,97940,70,230,77.752,4000,8,80,6.85,7.25,higher,drizzle,rain,drizzle,'stratus fractus',NO
August,13:00,100310,0,220,58.314,30000,7,1250,9.05,23.05,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
June,9:00,99430,-20,210,174.942,15000,7,800,10.65,17.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus mediocris',NO
December,10:00,102450,130,90,116.628,18000,0,?,-3.75,1.25,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
January,23:00,101850,140,350,58.314,13000,4,800,1.25,3.35,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
May,21:00,100610,70,20,9.719,2000,8,80,10.75,11.35,higher,mist,'cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
May,1:00,100190,10,290,58.314,15000,2,2250,4.35,6.65,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
May,23:00,99550,130,220,9.719,15000,5,1750,6.05,9.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
October,20:00,100640,110,350,9.719,15000,1,8000,8.55,14.15,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
February,15:00,102110,-100,20,155.504,18000,0,?,-20.85,-2.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
December,23:00,100820,140,20,58.314,5000,7,450,0.95,2.25,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
October,10:00,98870,-70,210,19.438,20000,7,450,11.95,15.95,lower,rain,rain,'cloud covering the sky','stratocumulus not cumulogenitus',NO
February,16:00,98020,-60,60,38.876,5000,8,450,5.85,6.55,'same or lower',rain,rain,rain,'cumulus and stratocumulus not cumulogenitus',NO
March,23:00,98890,270,250,136.066,12000,7,450,9.75,11.45,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
September,8:00,100470,180,350,77.752,15000,2,1750,9.45,11.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
January,18:00,101200,30,30,77.752,10000,0,?,-4.65,-2.15,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
January,14:00,101910,-110,340,58.314,15000,6,450,1.35,4.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
January,4:00,98560,-180,160,155.504,25000,7,800,3.65,8.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
August,13:00,100570,-60,330,77.752,25000,7,1250,4.55,23.05,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
April,18:00,100470,110,10,9.719,20000,6,1250,7.45,16.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
September,8:00,100300,40,300,58.314,7000,8,150,12.25,12.85,higher,rain,rain,rain,'stratus fractus',NO
March,1:00,101150,-30,30,58.314,4500,8,800,-0.05,1.55,lower,mist,'cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
June,5:00,99680,70,90,38.876,25000,6,8000,11.75,16.85,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
March,12:00,100770,-160,190,77.752,9000,4,8000,6.85,20.55,lower,'no meteors during the past hour','fog or ice fog or thick haze','cloud covering the sky','no low clouds',NO
June,1:00,99590,-100,140,9.719,20000,0,?,14.95,18.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
November,18:00,100960,-20,50,58.314,15000,7,3500,3.35,7.45,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
December,1:00,100180,-80,160,9.719,7000,7,250,3.35,4.55,lower,rain,rain,rain,'stratocumulus not cumulogenitus',NO
July,12:00,99280,-20,240,272.132,15000,6,800,10.15,17.75,lower,precipitation,showers,rain,'cumulus and stratocumulus not cumulogenitus',NO
November,13:00,99690,-110,320,77.752,25000,7,800,1.75,7.45,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus mediocris',NO
November,23:00,98170,310,230,136.066,30000,5,800,2.65,6.25,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
March,23:00,101450,50,70,9.719,20000,0,?,-3.25,1.05,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
February,7:00,102280,40,50,77.752,15000,1,8000,1.55,2.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
December,11:00,100750,-20,140,9.719,15000,7,2600,2.65,6.25,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
February,5:00,101420,40,240,38.876,2500,8,80,5.65,6.05,higher,drizzle,drizzle,'cloud covering the sky','stratus fractus',NO
July,9:00,101160,130,260,9.719,25000,7,450,12.45,17.35,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
August,3:00,100670,30,310,19.438,18000,0,?,9.75,12.75,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
September,19:00,100710,180,250,58.314,30000,1,1750,10.35,15.15,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
September,13:00,100140,-50,290,38.876,25000,6,8000,9.65,22.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
September,21:00,100460,-40,60,77.752,30000,8,3500,6.25,13.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
August,1:00,100030,100,320,38.876,30000,5,800,10.95,14.35,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
September,0:00,100680,-20,0,0.0,20000,1,8000,5.15,8.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
June,4:00,99970,30,10,77.752,7000,8,250,9.05,10.45,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
September,10:00,101100,110,320,77.752,15000,6,800,11.75,15.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
April,9:00,99760,160,80,174.942,15000,1,8000,-2.35,8.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
December,5:00,98620,-250,150,9.719,15000,7,450,3.85,5.05,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
July,7:00,101200,50,30,9.719,10000,7,8000,10.45,15.25,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
December,15:00,101260,130,10,9.719,25000,0,?,-5.55,-1.15,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
April,4:00,100600,40,10,77.752,25000,7,1250,1.45,3.95,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
February,4:00,100760,130,30,58.314,8000,8,800,-5.35,-0.95,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
September,21:00,100280,-20,250,77.752,25000,8,800,8.95,14.55,lower,rain,rain,'cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
September,10:00,101090,50,290,77.752,18000,5,800,9.35,15.65,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
January,0:00,101240,0,10,38.876,10000,5,8000,-5.65,-3.85,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
April,18:00,101300,-60,220,9.719,20000,7,1250,11.05,18.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
March,6:00,101920,30,60,38.876,12000,5,3500,-0.15,1.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
